Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
5/04/2022 15:12,Bellsprout,Se ha unido a una sesión BigBlueButtonBN,The user with id 70 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,201.253.250.59
5/04/2022 15:12,Bellsprout,Actividad BigBlueButtonBN visualizada,The user with id 70 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,201.253.250.59
5/04/2022 15:09,Arbok,Se ha unido a una sesión BigBlueButtonBN,The user with id 120 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.12.9.166
5/04/2022 15:09,Arbok,Actividad BigBlueButtonBN visualizada,The user with id 120 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.12.9.166
5/04/2022 15:09,Arbok,Actividad BigBlueButtonBN visualizada,The user with id 120 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.12.9.166
5/04/2022 15:08,Machoke,Se ha unido a una sesión BigBlueButtonBN,The user with id 38 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,45.229.248.90
5/04/2022 15:07,Nidorino,Se ha unido a una sesión BigBlueButtonBN,The user with id 31 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.81.55.105
5/04/2022 15:07,Nidorino,Se ha unido a una sesión BigBlueButtonBN,The user with id 31 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.81.55.105
5/04/2022 15:07,Nidorino,Actividad BigBlueButtonBN visualizada,The user with id 31 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.81.55.105
5/04/2022 15:06,Machoke,Se ha unido a una sesión BigBlueButtonBN,The user with id 38 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,45.229.248.90
5/04/2022 15:06,Bellsprout,Se ha unido a una sesión BigBlueButtonBN,The user with id 70 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,201.253.250.59
5/04/2022 15:06,Bellsprout,Actividad BigBlueButtonBN visualizada,The user with id 70 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,201.253.250.59
5/04/2022 15:05,Nidorino,Se ha unido a una sesión BigBlueButtonBN,The user with id 31 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.81.55.105
5/04/2022 15:05,Golduck,Se ha unido a una sesión BigBlueButtonBN,The user with id 1 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,152168183153
5/04/2022 15:05,Golduck,Actividad BigBlueButtonBN visualizada,The user with id 1 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,152168183153
5/04/2022 15:05,Hypno,Se ha unido a una sesión BigBlueButtonBN,The user with id 94 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.76.102
5/04/2022 15:05,Hypno,Actividad BigBlueButtonBN visualizada,The user with id 94 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.76.102
5/04/2022 15:04,Zubat,Se ha unido a una sesión BigBlueButtonBN,The user with id 90 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 15:04,Wartortle,Se ha unido a una sesión BigBlueButtonBN,The user with id 86 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.101.11.43
5/04/2022 15:04,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 15:04,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
